Date,Open,High,Low,Close,Adj Close,Volume
2017-08-24,143500.0,146000.0,138500.0,140500.0,110330.6328125,2612014
2017-08-31,141000.0,143500.0,133500.0,138000.0,108367.453125,2639634
2017-09-07,138000.0,138500.0,133000.0,137000.0,107582.15625,2998796
2017-09-14,135500.0,143000.0,134000.0,141500.0,111115.890625,2499897
2017-09-21,141000.0,149000.0,140000.0,147000.0,115434.859375,1905635
2017-09-28,148500.0,151000.0,147500.0,150500.0,118183.328125,808779
2017-10-05,150500.0,156500.0,147500.0,156500.0,122894.953125,2456363
2017-10-12,155000.0,155500.0,147000.0,151500.0,118968.625,2846068
2017-10-19,151500.0,160000.0,146500.0,159500.0,125250.75,3353158
2017-10-26,159500.0,162000.0,154500.0,160000.0,125643.3984375,3176958
2017-11-02,161000.0,164000.0,153000.0,155500.0,122109.6640625,2640038
2017-11-09,154000.0,163000.0,153500.0,159500.0,125250.75,2452416
2017-11-16,158000.0,159000.0,154000.0,157000.0,123287.5859375,1791924
2017-11-23,156000.0,166500.0,155000.0,164500.0,129177.140625,3041729
2017-11-30,164500.0,165500.0,157500.0,161500.0,126821.3125,1992951
2017-12-07,159500.0,161000.0,148000.0,150500.0,118183.328125,3690753
2017-12-14,151500.0,155500.0,150000.0,150000.0,117790.71875,1413998
2017-12-21,151000.0,157000.0,150000.0,156000.0,122502.3125,1427834
2017-12-28,156000.0,156000.0,146000.0,146500.0,117327.875,2114195
2018-01-04,146000.0,158000.0,145500.0,155000.0,124135.296875,2682729
2018-01-11,153500.0,159000.0,151000.0,155000.0,124135.296875,1868592
2018-01-18,155000.0,167500.0,154000.0,158500.0,126938.34375,3377348
2018-01-25,155000.0,162000.0,149000.0,160500.0,128540.078125,3426095
2018-02-01,161000.0,164000.0,153500.0,161000.0,128940.5078125,3610333
2018-02-08,156500.0,158500.0,152000.0,154500.0,123734.859375,2070406
2018-02-15,154500.0,161000.0,152500.0,157000.0,125737.0078125,1360621
2018-02-22,158500.0,163000.0,157500.0,161500.0,129340.9375,1559573
2018-03-01,158000.0,159000.0,152000.0,154500.0,123734.859375,2464562
2018-03-08,153500.0,159000.0,152000.0,157500.0,126137.453125,2234618
2018-03-15,158000.0,159500.0,150000.0,152500.0,122133.09375,2019901
2018-03-22,151000.0,155000.0,142500.0,143500.0,114925.234375,4166623
2018-03-29,144000.0,159500.0,142500.0,154000.0,123334.3828125,4956269
2018-04-05,155000.0,155500.0,149000.0,152000.0,121732.6484375,1694978
2018-04-12,151500.0,159500.0,149500.0,158000.0,126537.8984375,2251311
2018-04-19,157000.0,165500.0,154500.0,156500.0,125336.5703125,2604743
2018-04-26,155000.0,163000.0,154000.0,160000.0,128139.640625,1941219
2018-05-03,158000.0,161000.0,150500.0,152000.0,121732.6484375,2305791
2018-05-10,152000.0,154500.0,146000.0,149500.0,119730.4765625,2267699
2018-05-17,148500.0,151000.0,139000.0,140000.0,112122.1875,3112936
2018-05-24,139500.0,141000.0,136000.0,139000.0,111321.3125,3151654
2018-05-31,138500.0,144000.0,137500.0,142500.0,114124.375,2184975
2018-06-07,142000.0,142500.0,135000.0,135000.0,108117.8359375,2503311
2018-06-14,136000.0,136500.0,127000.0,127000.0,101710.828125,3245379
2018-06-21,126000.0,131000.0,123000.0,125000.0,100109.09375,4020946
2018-06-28,124500.0,126000.0,118000.0,121500.0,98075.265625,2837414
2018-07-05,122500.0,126000.0,120500.0,123000.0,99286.0703125,2287245
2018-07-12,123500.0,129000.0,122000.0,124000.0,100093.265625,1921866
2018-07-19,124500.0,131500.0,122500.0,130000.0,104936.4765625,2393078
2018-07-26,129500.0,131500.0,124000.0,125500.0,101304.0703125,1521445
2018-08-02,124000.0,129500.0,123500.0,126000.0,101707.671875,2419409
2018-08-09,126000.0,127000.0,122000.0,126500.0,102111.28125,1366933
2018-08-16,125500.0,128000.0,123000.0,124500.0,100496.8671875,1417362
2018-08-23,123500.0,127000.0,123000.0,123500.0,99689.6640625,1557549
